Mašīnas vecums;plough;other_soil_tilage;planter_sower_sprayer;mower_chipper;press;swather_rake;transport;other
1;47%;61%;65%;47%;56%;49%;42%;69%
2;44%;54%;60%;44%;50%;44%;39%;62%
3;42%;49%;56%;41%;46%;40%;36%;56%
4;40%;45%;53%;39%;42%;37%;34%;52%
5;39%;42%;50%;37%;39%;35%;33%;48%
6;38%;39%;48%;35%;37%;32%;31%;45%
7;36%;36%;46%;33%;34%;30%;30%;42%
8;35%;34%;44%;32%;32%;28%;29%;40%
9;34%;31%;42%;31%;30%;27%;27%;37%
10;33%;30%;40%;30%;28%;25%;26%;35%
11;32%;28%;39%;28%;27%;24%;25%;33%
12;32%;26%;38%;27%;25%;23%;24%;31%
13;31%;24%;36%;26%;24%;21%;24%;29%
14;30%;23%;35%;26%;22%;20%;23%;28%
15;29%;22%;34%;25%;21%;19%;22%;26%
16;29%;20%;33%;24%;20%;18%;21%;25%
17;28%;19%;32%;23%;19%;17%;20%;24%
18;27%;18%;30%;22%;18%;16%;20%;22%
19;27%;17%;29%;22%;17%;16%;19%;21%
20;26%;16%;29%;21%;16%;15%;19%;20%