Kategorija,Apakškategorija
Traktori,Lauksaimniecības traktors
Sējas un stādāmā tehnika,Sējmašīna
Sējas un stādāmā tehnika,Sīksēklu sējmašīna
Sējas un stādāmā tehnika,Precīzās izsējas sējmašīna
Sējas un stādāmā tehnika,Augļu koku un ogulāju stādāmā mašīna
Sējas un stādāmā tehnika,Kartupeļu stādāmā mašīna
Sējas un stādāmā tehnika,Stādu konteineru pildīšanas un stādīšanas iekārta
Sējas un stādāmā tehnika,Dārzeņu stādāmā mašīna
Lopbarības sagatavošanas tehnika,Pļaujmašīna
Lopbarības sagatavošanas tehnika,Savācējpiekabe
Lopbarības sagatavošanas tehnika,Tuneļu sistēma skābbarībai
Lopbarības sagatavošanas tehnika,Vālotājs/ārdītājs
Lopbarības sagatavošanas tehnika,Rituļu prese
Lopbarības sagatavošanas tehnika,Ķīpu prese
Lopbarības sagatavošanas tehnika,Skābbarības blietētājveltnis
Lopbarības sagatavošanas tehnika,Salmu smalcinātājs-izkliedētājs
Lopbarības sagatavošanas tehnika,Ietinējs
Lopbarības sagatavošanas tehnika,Prese ar ietinēju
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Transportieris
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Graudu tīrītājs
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Graudu glabātuve
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Graudu kalte
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Graudu pieņemšanas piltuve
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Dārzeņu pirmapstrādes iekārta
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Graudu kaltes modulis
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Dārzeņu iepakošanas iekārta
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Mehāniskais šķirotājs
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Žāvēšanas iekārta
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Kastes
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Paraugu kvalitātes analizators
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Lopbarības paraugu analizatori
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Medus sviede, atvākošanas iekārta
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Dārzeņu pieņemšanas un glabāšanas tvertne
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Graudu dzirnavas
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Konteineru izgāzējs
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Bišu vaska apstrādes iekārta
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Paraugu tīrītāji
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Graudu pirmapstrādes kompleksa automatizācijas iekārta
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Putekļu savākšanas konteiners
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Aukstuma iekārta
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Automātiskā medus izsviešanas līnija
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Medus mitruma noņēmējs
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Medus apstrādes iekārta
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Bišu barības maisītājs
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Bišu maizes drupinātājs
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Vīna darīšanas līnija
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Ziedputekšņu kalte
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Bišu māšu inkubators
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Noliktavas sistēma
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Sulu spiede
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Ziedputekšņu tīrītājs
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika,Bišu stropa komplekts
Fermu aprīkojums un iekārtas,Dzīvnieku barošanas iekārta
Fermu aprīkojums un iekārtas,Novietnes aprīkojums
Fermu aprīkojums un iekārtas,Šķidrmēslu jaucējs
Fermu aprīkojums un iekārtas,Šķidrmēslu izvākšanas iekārta
Fermu aprīkojums un iekārtas,Automātiskā slaukšanas iekārta
Fermu aprīkojums un iekārtas,Novietnes klimata aprīkojums
Fermu aprīkojums un iekārtas,Automātiskais lopbarības izdalītājs
Fermu aprīkojums un iekārtas,Konvencionālā slaukšanas iekārta
Fermu aprīkojums un iekārtas,Lopbarības uzglabāšanas tornis
Fermu aprīkojums un iekārtas,Teļu audzēšanas aprīkojums
Fermu aprīkojums un iekārtas,Piena dzesēšanas un glabāšanas tvertne
Fermu aprīkojums un iekārtas,Dzīvnieku labturības aprīkojums
Fermu aprīkojums un iekārtas,Guļvietu aprīkojums
Fermu aprīkojums un iekārtas,Ģenerators
Fermu aprīkojums un iekārtas,Rekuperators
Fermu aprīkojums un iekārtas,Ganāmpulka vadības iekārta
Fermu aprīkojums un iekārtas,Piena plūsmas dzesētājs
Fermu aprīkojums un iekārtas,Barības gatavošanas iekārta
Fermu aprīkojums un iekārtas,Barības piestūmējs
Fermu aprīkojums un iekārtas,Dzīvnieku fiksācijas stelles
Fermu aprīkojums un iekārtas,Šķidrmēslu separators
Fermu aprīkojums un iekārtas,Inkubators
Fermu aprīkojums un iekārtas,Novietnes aprīkojums mājputnu turēšanai
Fermu aprīkojums un iekārtas,Cietmēslu izvākšanas iekārta
Fermu aprīkojums un iekārtas,Lopbarības transportieris
Fermu aprīkojums un iekārtas,Transporta dezinfekcijas iekārta
Fermu aprīkojums un iekārtas,Novietnes aprīkojumu sivēnmāšu un sivēnu turēšanai
Fermu aprīkojums un iekārtas,Piena paraugu noņēmējs
Fermu aprīkojums un iekārtas,Energoefektīvā vadības iekārta
Ražošanas resursu uzglabāšanas tvertnes,Šķidrumu uzglabāšanas tvertne
Augsnes apstrādes tehnika un iekārtas,Veltnis
Augsnes apstrādes tehnika un iekārtas,Rugaines kultivators
Augsnes apstrādes tehnika un iekārtas,Diski
Augsnes apstrādes tehnika un iekārtas,Ecēšas
Augsnes apstrādes tehnika un iekārtas,Dziļirdinātājs
Augsnes apstrādes tehnika un iekārtas,Arkls
Augsnes apstrādes tehnika un iekārtas,Frēze
Augsnes apstrādes tehnika un iekārtas,Kultivators
Augsnes apstrādes tehnika un iekārtas,Šļūce
Atjaunojamās enerģijas ražošana,Saules paneļi
Atjaunojamās enerģijas ražošana,Biomasas moduļveida apkures sistēma
Atjaunojamās enerģijas ražošana,Biogāzes stacija
Atjaunojamās enerģijas ražošana,Akumulators
Mēslošanas un augu aizsardzības tehnika,Organisko mēslu izkliedētājs
Mēslošanas un augu aizsardzības tehnika,Minerālmēslu un kaļķa izkliedētājs
Mēslošanas un augu aizsardzības tehnika,Smidzinātājs
Mēslošanas un augu aizsardzības tehnika,Miglotājs
Mēslošanas un augu aizsardzības tehnika,Šķidrmēslu cisterna
Mēslošanas un augu aizsardzības tehnika,Šķidrmēslu izkliedes cauruļvadu sistēma
Mēslošanas un augu aizsardzības tehnika,Šķidrmēslu izkliedētāja aprīkojums
Mēslošanas un augu aizsardzības tehnika,Komposta apvērsējs
Kravu celšanas un kraušanas tehnika,Frontālais iekrāvējs
Kravu celšanas un kraušanas tehnika,Teleskopiskais iekrāvējs
Kravu celšanas un kraušanas tehnika,Autoiekrāvējs
Kravu celšanas un kraušanas tehnika,Kompaktiekrāvējs
Kravu celšanas un kraušanas tehnika,Palešu ratiņi
Kravu celšanas un kraušanas tehnika,Personu pacēlājs
Sējumu un stādījumu kopšanas tehnika,Mulčeris
Sējumu un stādījumu kopšanas tehnika,Rindstarpu kultivators
Sējumu un stādījumu kopšanas tehnika,Laistīšanas iekārta
Sējumu un stādījumu kopšanas tehnika,Lakstu pļāvējs
Sējumu un stādījumu kopšanas tehnika,Mauriņa pļaujmašīna
Sējumu un stādījumu kopšanas tehnika,Akmeņu vācējs
Sējumu un stādījumu kopšanas tehnika,Plēves ieklājējs
Sējumu un stādījumu kopšanas tehnika,Trimmeris
Sējumu un stādījumu kopšanas tehnika,Ūdens sūknis
Sējumu un stādījumu kopšanas tehnika,Kartupeļu vagotājs
Sējumu un stādījumu kopšanas tehnika,Šķeldotājs
Kravu transportēšanas tehnika,Piekabe
Kravu transportēšanas tehnika,Specializētais kravas furgons
Kravu transportēšanas tehnika,Piena pārvadāšanas tehnika
Kravu transportēšanas tehnika,Graudu pārvadāšanas tehnika
Kravu transportēšanas tehnika,Vilcējs
Kravu transportēšanas tehnika,Universālais transportlīdzeklis
Kravu transportēšanas tehnika,Zivju produkcijas pārvadāšanas tehnika
Kravu transportēšanas tehnika,Lopbarības pārvadāšanas tehnika
Siltumnīcu aprīkojums,Dārzeņu audzēšanas līnija
Siltumnīcu aprīkojums,Augu apūdeņošanas un mēslošanas sistēma
Siltumnīcu aprīkojums,Bufertvertne
Siltumnīcu aprīkojums,Apgaismojuma sistēmas
Siltumnīcu aprīkojums,Aizkari
Siltumnīcu aprīkojums,Kopšanas ratiņi
Siltumnīcu aprīkojums,Apkures katls
Siltumnīcu aprīkojums,Siltumnīcu vadības sistēma
Papildaprīkojums,Kauss
Papildaprīkojums,Priekšējā uzkare
Papildaprīkojums,Hedera ratiņi
Papildaprīkojums,Frontālā tvertne
Papildaprīkojums,Lāpsta
Papildaprīkojums,Dakša
Papildaprīkojums,Ķīpu/rituļu satvērējs
Papildaprīkojums,Birste
Papildaprīkojums,Priekšējā jūgvārpsta
Papildaprīkojums,Ķīpu/rituļu griezējs
Papildaprīkojums,Izlices pļaujmašīna
Papildaprīkojums,Motobloks
Papildaprīkojums,Hidromanipulators
Papildaprīkojums,Maisu pacēlājs
Papildaprīkojums,Skābbarības atgriezējs
Precīzās tehnoloģijas,GPS uztvērējs
Precīzās tehnoloģijas,Augu sensors
Precīzās tehnoloģijas,Mainīgās devas moduļa komplekts
Precīzās tehnoloģijas,Bezpilota gaisa kuģis
Precīzās tehnoloģijas,Meteostacija
Precīzās tehnoloģijas,Robots
Precīzās tehnoloģijas,Ražas uzskaites sistēma
Precīzās tehnoloģijas,GNSS uztvērējs
Precīzās tehnoloģijas,Augsnes paraugu noņēmējs
Ražas novākšanas tehnika,Ogu novākšans kombains
Ražas novākšanas tehnika,Ražas novākšanas platforma
Ražas novākšanas tehnika,Graudaugu kombains
Ražas novākšanas tehnika,Dārzeņu novākšanas kombains
Ražas novākšanas tehnika,Kombaina heders
Ražas novākšanas tehnika,Kartupeļu novākšanas kombains
Meliorācijas sistēmu kopšanas tehnika,Drenāžas skalotājs
Meliorācijas sistēmu kopšanas tehnika,Tranšeju racējs
Svari,Siju tipa svari
Svari,Maisu svari
Darbnīcu aprīkojums,Augstspiediena mazgātājs
Darbnīcu aprīkojums,MIG metināšanas iekārta
Kautuves aprīkojums,Plaucēšanas un saru atdalīšanas iekārta
Kautuves aprīkojums,Apdullināšanas iekārta
Kautuves aprīkojums,Izlietne
Kautuves aprīkojums,Nažu sterilizators
Kautuves aprīkojums,Līnija liemeņu pārvietošanai
Kautuves aprīkojums,Liemeņu pārzāģēšanas zāģis
Kautuves aprīkojums,Apdullināšanas sprosts
Siltuma un gaisa apstrādes/ventilācijas iekārtas,Siltumsūknis
Laboratorijas iekārtas,Dzērienu parametru analizators
Laboratorijas iekārtas,Tekstūras analizators
4,Plīts
4,Apkures katls
Taras apstrādes iekārtas un aprīkojums,Taras mazgāšanas mašīna
